Device: cpu  λs=[0.05, 0.1, 0.15, 0.25, 0.4, 0.55]  seeds=[0, 1, 2]  epochs=15
Loaded experiments/checkpoints/mnist_deep4x512.pt: hidden=[512, 512, 512, 512], 1,195,018 params, frozen.

── λ=0.05 seed=0 ── pruner params: 711,429
  → [λ=0.05 seed=2] final keep 0.617  pruned 38.33%  | per-layer kept [299, 509, 281, 174]/[512, 512, 512, 512]  | orig→pruned test acc 98.32→98.09%  | 67s

── λ=0.1 seed=0 ── pruner params: 711,429
  [λ=0.1 seed=0] step  100 ep1 | loss +0.094 | orig 0.996 pruned 0.996 | pruned% h1=  0.0 h2=  0.0 h3= 42.8 h4= 54.5 (avg= 24.3)
  [λ=0.1 seed=0] step  200 ep1 | loss +0.086 | orig 0.996 pruned 0.992 | pruned% h1= 13.5 h2=  0.0 h3= 46.5 h4= 62.1 (avg= 30.5)
  [λ=0.1 seed=0] step  300 ep2 | loss +0.090 | orig 1.000 pruned 0.996 | pruned% h1= 31.8 h2=  0.2 h3= 51.8 h4= 62.9 (avg= 36.7)
  [λ=0.1 seed=0] step  400 ep2 | loss +0.082 | orig 0.996 pruned 0.992 | pruned% h1= 39.5 h2=  2.9 h3= 52.1 h4= 63.1 (avg= 39.4)
  [λ=0.1 seed=0] step  500 ep3 | loss +0.074 | orig 0.992 pruned 0.988 | pruned% h1= 43.4 h2=  9.6 h3= 53.9 h4= 63.3 (avg= 42.5)
  [λ=0.1 seed=0] step  600 ep3 | loss +0.076 | orig 0.992 pruned 0.988 | pruned% h1= 44.7 h2= 18.8 h3= 55.3 h4= 63.3 (avg= 45.5)
  [λ=0.1 seed=0] step  700 ep3 | loss +0.063 | orig 0.992 pruned 0.996 | pruned% h1= 45.9 h2= 20.5 h3= 55.5 h4= 63.7 (avg= 46.4)
  [λ=0.1 seed=0] step  800 ep4 | loss +0.065 | orig 0.992 pruned 0.992 | pruned% h1= 47.1 h2= 22.1 h3= 55.7 h4= 63.9 (avg= 47.2)
  [λ=0.1 seed=0] step  900 ep4 | loss +0.087 | orig 0.992 pruned 0.980 | pruned% h1= 47.5 h2= 23.6 h3= 55.9 h4= 64.1 (avg= 47.8)
  [λ=0.1 seed=0] step 1000 ep5 | loss +0.073 | orig 0.996 pruned 0.992 | pruned% h1= 47.9 h2= 24.0 h3= 55.9 h4= 64.1 (avg= 47.9)
  [λ=0.1 seed=0] step 1100 ep5 | loss +0.082 | orig 0.996 pruned 1.000 | pruned% h1= 48.0 h2= 24.6 h3= 55.9 h4= 64.1 (avg= 48.1)
  [λ=0.1 seed=0] step 1200 ep6 | loss +0.076 | orig 0.992 pruned 0.988 | pruned% h1= 48.4 h2= 25.2 h3= 55.9 h4= 64.1 (avg= 48.4)
  [λ=0.1 seed=0] step 1300 ep6 | loss +0.069 | orig 0.996 pruned 0.996 | pruned% h1= 48.4 h2= 25.6 h3= 55.9 h4= 64.1 (avg= 48.5)
  [λ=0.1 seed=0] step 1400 ep6 | loss +0.082 | orig 1.000 pruned 0.996 | pruned% h1= 48.6 h2= 25.6 h3= 55.9 h4= 64.3 (avg= 48.6)
  [λ=0.1 seed=0] step 1500 ep7 | loss +0.070 | orig 0.984 pruned 0.973 | pruned% h1= 48.6 h2= 25.8 h3= 55.9 h4= 64.3 (avg= 48.6)
  [λ=0.1 seed=0] step 1600 ep7 | loss +0.071 | orig 0.992 pruned 0.992 | pruned% h1= 48.6 h2= 26.2 h3= 56.1 h4= 64.3 (avg= 48.8)
  [λ=0.1 seed=0] step 1700 ep8 | loss +0.063 | orig 0.996 pruned 0.996 | pruned% h1= 48.6 h2= 26.2 h3= 56.1 h4= 64.3 (avg= 48.8)
  [λ=0.1 seed=0] step 1800 ep8 | loss +0.064 | orig 0.988 pruned 0.984 | pruned% h1= 48.8 h2= 26.4 h3= 56.1 h4= 64.3 (avg= 48.9)
  [λ=0.1 seed=0] step 1900 ep9 | loss +0.066 | orig 0.992 pruned 0.996 | pruned% h1= 48.8 h2= 26.6 h3= 56.2 h4= 64.3 (avg= 49.0)
  [λ=0.1 seed=0] step 2000 ep9 | loss +0.071 | orig 0.996 pruned 0.996 | pruned% h1= 48.8 h2= 26.6 h3= 56.2 h4= 64.3 (avg= 49.0)
  [λ=0.1 seed=0] step 2100 ep9 | loss +0.044 | orig 0.992 pruned 0.992 | pruned% h1= 48.8 h2= 26.6 h3= 56.2 h4= 64.3 (avg= 49.0)
