Device: cpu  λs=[0.01, 0.02, 0.03, 0.05, 0.08, 0.12]  seeds=[0, 1, 2]  epochs=15
Loaded experiments/checkpoints/mnist_wide2048.pt: hidden=[2048], 1,628,170 params, frozen.

── λ=0.01 seed=0 ── pruner params: 415,746
  [λ=0.02 seed=0] step 3200 ep14 | loss +0.018 | orig 1.000 pruned 1.000 | pruned% h1= 77.5 (avg= 77.5)
  [λ=0.02 seed=0] step 3300 ep15 | loss +0.039 | orig 0.996 pruned 0.988 | pruned% h1= 77.5 (avg= 77.5)
  [λ=0.02 seed=0] step 3400 ep15 | loss +0.017 | orig 0.996 pruned 0.996 | pruned% h1= 77.5 (avg= 77.5)
  [λ=0.02 seed=0] step 3500 ep15 | loss +0.020 | orig 0.996 pruned 0.996 | pruned% h1= 77.6 (avg= 77.6)
  → [λ=0.02 seed=0] final keep 0.224  pruned 77.59%  | per-layer kept [459]/[2048]  | orig→pruned test acc 98.16→98.03%  | 61s

── λ=0.02 seed=1 ── pruner params: 415,746
  [λ=0.02 seed=1] step  100 ep1 | loss +0.027 | orig 1.000 pruned 1.000 | pruned% h1= 61.6 (avg= 61.6)
  [λ=0.02 seed=1] step  200 ep1 | loss +0.023 | orig 0.992 pruned 0.992 | pruned% h1= 61.4 (avg= 61.4)
  [λ=0.02 seed=1] step  300 ep2 | loss +0.022 | orig 0.996 pruned 0.996 | pruned% h1= 64.4 (avg= 64.4)
  [λ=0.02 seed=1] step  400 ep2 | loss +0.017 | orig 0.992 pruned 0.988 | pruned% h1= 65.3 (avg= 65.3)
  [λ=0.02 seed=1] step  500 ep3 | loss +0.018 | orig 1.000 pruned 0.996 | pruned% h1= 64.5 (avg= 64.5)
  [λ=0.02 seed=1] step  600 ep3 | loss +0.037 | orig 1.000 pruned 0.992 | pruned% h1= 71.4 (avg= 71.4)
  [λ=0.02 seed=1] step  700 ep3 | loss +0.017 | orig 1.000 pruned 1.000 | pruned% h1= 73.0 (avg= 73.0)
  [λ=0.02 seed=1] step  800 ep4 | loss +0.015 | orig 0.992 pruned 0.988 | pruned% h1= 71.9 (avg= 71.9)
  [λ=0.02 seed=1] step  900 ep4 | loss +0.019 | orig 1.000 pruned 0.996 | pruned% h1= 73.6 (avg= 73.6)
  [λ=0.02 seed=1] step 1000 ep5 | loss +0.018 | orig 0.996 pruned 1.000 | pruned% h1= 73.7 (avg= 73.7)
  [λ=0.02 seed=1] step 1100 ep5 | loss +0.015 | orig 0.996 pruned 0.996 | pruned% h1= 74.1 (avg= 74.1)
  [λ=0.02 seed=1] step 1200 ep6 | loss +0.020 | orig 0.996 pruned 0.992 | pruned% h1= 74.5 (avg= 74.5)
  [λ=0.02 seed=1] step 1300 ep6 | loss +0.003 | orig 0.988 pruned 1.000 | pruned% h1= 75.1 (avg= 75.1)
  [λ=0.02 seed=1] step 1400 ep6 | loss +0.019 | orig 1.000 pruned 1.000 | pruned% h1= 75.7 (avg= 75.7)
  [λ=0.02 seed=1] step 1500 ep7 | loss +0.026 | orig 0.996 pruned 0.984 | pruned% h1= 75.9 (avg= 75.9)
  [λ=0.02 seed=1] step 1600 ep7 | loss +0.021 | orig 0.996 pruned 0.992 | pruned% h1= 76.1 (avg= 76.1)
  [λ=0.02 seed=1] step 1700 ep8 | loss +0.020 | orig 0.996 pruned 0.984 | pruned% h1= 76.6 (avg= 76.6)
  [λ=0.02 seed=1] step 1800 ep8 | loss +0.031 | orig 0.996 pruned 0.992 | pruned% h1= 76.5 (avg= 76.5)
  [λ=0.02 seed=1] step 1900 ep9 | loss +0.032 | orig 1.000 pruned 0.988 | pruned% h1= 76.7 (avg= 76.7)
  [λ=0.02 seed=1] step 2000 ep9 | loss +0.024 | orig 0.996 pruned 0.992 | pruned% h1= 76.8 (avg= 76.8)
  [λ=0.02 seed=1] step 2100 ep9 | loss +0.011 | orig 0.988 pruned 0.996 | pruned% h1= 76.8 (avg= 76.8)
  [λ=0.02 seed=1] step 2200 ep10 | loss +0.039 | orig 0.996 pruned 0.992 | pruned% h1= 76.9 (avg= 76.9)
  [λ=0.02 seed=1] step 2300 ep10 | loss +0.018 | orig 0.988 pruned 0.988 | pruned% h1= 77.1 (avg= 77.1)
  [λ=0.02 seed=1] step 2400 ep11 | loss +0.033 | orig 0.988 pruned 0.988 | pruned% h1= 77.1 (avg= 77.1)
  [λ=0.02 seed=1] step 2500 ep11 | loss +0.025 | orig 0.996 pruned 0.996 | pruned% h1= 77.2 (avg= 77.2)
  [λ=0.02 seed=1] step 2600 ep12 | loss +0.031 | orig 1.000 pruned 0.992 | pruned% h1= 77.3 (avg= 77.3)
  [λ=0.02 seed=1] step 2700 ep12 | loss +0.017 | orig 0.996 pruned 0.996 | pruned% h1= 77.4 (avg= 77.4)
  [λ=0.02 seed=1] step 2800 ep12 | loss +0.039 | orig 1.000 pruned 0.992 | pruned% h1= 77.6 (avg= 77.6)
  [λ=0.02 seed=1] step 2900 ep13 | loss +0.017 | orig 0.992 pruned 0.992 | pruned% h1= 77.7 (avg= 77.7)
  [λ=0.02 seed=1] step 3000 ep13 | loss +0.033 | orig 1.000 pruned 0.992 | pruned% h1= 77.7 (avg= 77.7)
  [λ=0.02 seed=1] step 3100 ep14 | loss +0.043 | orig 1.000 pruned 0.988 | pruned% h1= 77.8 (avg= 77.8)
  [λ=0.02 seed=1] step 3200 ep14 | loss +0.020 | orig 0.996 pruned 0.996 | pruned% h1= 77.8 (avg= 77.8)
  [λ=0.02 seed=1] step 3300 ep15 | loss +0.028 | orig 1.000 pruned 0.992 | pruned% h1= 77.8 (avg= 77.8)
  [λ=0.02 seed=1] step 3400 ep15 | loss +0.035 | orig 1.000 pruned 0.992 | pruned% h1= 77.8 (avg= 77.8)
  [λ=0.02 seed=1] step 3500 ep15 | loss +0.029 | orig 0.992 pruned 0.992 | pruned% h1= 77.8 (avg= 77.8)
  → [λ=0.02 seed=1] final keep 0.222  pruned 77.83%  | per-layer kept [454]/[2048]  | orig→pruned test acc 98.16→97.93%  | 73s

── λ=0.02 seed=2 ── pruner params: 415,746
  [λ=0.02 seed=2] step  100 ep1 | loss +0.026 | orig 1.000 pruned 0.996 | pruned% h1= 58.4 (avg= 58.4)
  [λ=0.02 seed=2] step  200 ep1 | loss +0.030 | orig 1.000 pruned 0.988 | pruned% h1= 62.5 (avg= 62.5)
  [λ=0.02 seed=2] step  300 ep2 | loss +0.018 | orig 1.000 pruned 0.996 | pruned% h1= 66.3 (avg= 66.3)
  [λ=0.02 seed=2] step  400 ep2 | loss +0.028 | orig 1.000 pruned 1.000 | pruned% h1= 66.4 (avg= 66.4)
  [λ=0.02 seed=2] step  500 ep3 | loss +0.009 | orig 0.996 pruned 1.000 | pruned% h1= 69.7 (avg= 69.7)
  [λ=0.02 seed=2] step  600 ep3 | loss +0.023 | orig 0.996 pruned 0.996 | pruned% h1= 69.8 (avg= 69.8)
  [λ=0.02 seed=2] step  700 ep3 | loss +0.021 | orig 1.000 pruned 0.992 | pruned% h1= 71.4 (avg= 71.4)
